Date,Open,High,Low,Close,Adj Close,Volume
25/7/2017,3.93,3.95,3.93,3.93,3.366392,14853700
26/7/2017,3.95,3.97,3.93,3.96,3.39209,24908300
27/7/2017,3.96,3.98,3.96,3.97,3.400655,26913000
28/7/2017,3.98,4,3.97,4,3.426353,24292300
31/7/2017,4,4,3.95,3.97,3.400655,27729600
1/8/2017,3.86,3.86,3.83,3.86,3.398014,23797200
2/8/2017,3.83,3.85,3.8,3.84,3.380408,26180700
3/8/2017,3.83,3.84,3.81,3.82,3.362802,13330700
4/8/2017,3.82,3.84,3.81,3.83,3.371605,15252000
7/8/2017,3.83,3.83,3.81,3.81,3.353999,10382000
8/8/2017,3.8,3.81,3.75,3.77,3.318786,28751000
10/8/2017,3.76,3.79,3.75,3.76,3.309983,30176700
11/8/2017,3.76,3.78,3.74,3.76,3.309983,20583900
14/8/2017,3.77,3.78,3.75,3.77,3.318786,20167400
15/8/2017,3.78,3.83,3.78,3.79,3.336392,22098800
16/8/2017,3.79,3.8,3.75,3.79,3.336392,16135900
17/8/2017,3.73,3.76,3.71,3.76,3.309983,26932700
18/8/2017,3.75,3.78,3.74,3.75,3.30118,15902200
21/8/2017,3.75,3.76,3.73,3.74,3.292377,11599200
22/8/2017,3.74,3.76,3.73,3.75,3.30118,14220600
23/8/2017,3.75,3.78,3.74,3.74,3.292377,12624700
24/8/2017,3.76,3.77,3.74,3.75,3.30118,12529500
25/8/2017,3.74,3.76,3.74,3.75,3.30118,14330800
28/8/2017,3.75,3.77,3.74,3.75,3.30118,8815600
29/8/2017,3.73,3.73,3.7,3.7,3.257164,24629400
30/8/2017,3.7,3.73,3.7,3.71,3.265967,13715500
31/8/2017,3.73,3.73,3.7,3.7,3.257164,28873600
4/9/2017,3.7,3.7,3.66,3.66,3.221952,25232500
5/9/2017,3.67,3.7,3.66,3.68,3.239558,13146600
6/9/2017,3.7,3.71,3.68,3.69,3.248361,11809500
7/9/2017,3.71,3.71,3.67,3.67,3.230755,12894400
8/9/2017,3.67,3.69,3.66,3.68,3.239558,14103500
11/9/2017,3.69,3.69,3.68,3.69,3.248361,6290900
12/9/2017,3.7,3.71,3.66,3.66,3.221952,19991000
13/9/2017,3.66,3.67,3.65,3.67,3.230755,17241800
14/9/2017,3.67,3.67,3.65,3.67,3.230755,24611900
15/9/2017,3.66,3.68,3.65,3.67,3.230755,19868500
18/9/2017,3.69,3.74,3.68,3.71,3.265967,23897000
19/9/2017,3.73,3.74,3.68,3.68,3.239558,17780800
20/9/2017,3.68,3.71,3.67,3.7,3.257164,9663500
21/9/2017,3.68,3.69,3.66,3.68,3.239558,14324700
22/9/2017,3.67,3.69,3.66,3.68,3.239558,14465800
25/9/2017,3.68,3.69,3.66,3.67,3.230755,11649000
26/9/2017,3.68,3.7,3.67,3.68,3.239558,7911500
27/9/2017,3.68,3.72,3.67,3.71,3.265967,11319500
28/9/2017,3.7,3.71,3.67,3.67,3.230755,17023400
29/9/2017,3.67,3.7,3.66,3.68,3.239558,21178400
2/10/2017,3.69,3.72,3.68,3.7,3.257164,19359900
3/10/2017,3.71,3.71,3.68,3.68,3.239558,16428600
4/10/2017,3.68,3.71,3.68,3.69,3.248361,16931100
5/10/2017,3.7,3.7,3.68,3.68,3.239558,21252400
6/10/2017,3.68,3.7,3.67,3.68,3.239558,34892900
9/10/2017,3.68,3.69,3.67,3.68,3.239558,30314200
10/10/2017,3.69,3.7,3.68,3.68,3.239558,16889221
11/10/2017,3.69,3.7,3.67,3.68,3.239558,18313800
12/10/2017,3.68,3.69,3.67,3.68,3.239558,22180800
